Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
213243951,"Blood Ties (Kongeriket, #2)",Jo Nesbø,"Nesbø, Jo",Robert Ferguson,"=""0593803612""","=""9780593803615""",0,3.98,Knopf,Hardcover,384,2025,2024,,2025/08/20,"to-read, xutoread2025","to-read (#92), xutoread2025 (#53)",to-read,,,,0,0
51201196,The Kingdom,Jo Nesbø,"Nesbø, Jo",Robert Ferguson,"=""0525655417""","=""9780525655411""",0,3.85,Knopf,Hardcover,560,2020,2020,,2025/08/20,"to-read, xutoread2025","to-read (#91), xutoread2025 (#52)",to-read,,,,0,0
216851093,Bàn tay Thợ Đồng Hồ,Jeffery Deaver,"Deaver, Jeffery",Nguyễn Quang Huy,"=""""","=""""",0,4.20,NXB Lao Động & Bách Việt,Paperback,504,2024,2023,,2025/08/19,"to-read, xutoread2025","to-read (#90), xutoread2025 (#51)",to-read,,,,0,0
223888776,Mona's Eyes,Thomas Schlesser,"Schlesser, Thomas",Hildegarde Serle,"=""""","=""9798889661115""",4,3.72,Europa Editions,Hardcover,432,2025,2024,,2025/02/27,xuread2025,xuread2025 (#40),read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",4,4.40,Atria Books,Hardcover,389,2017,2017,2025/04/11,2025/03/07,xuread2025,xuread2025 (#16),read,Mình vẫn thấy lẽ ra nó có thể ngắn hơn. Thứ giữ mình đến cuối là tại sao lại là Monique và tác giả đã không làm độc giả sốt ruột phải thất vọng. Showbiz nước nào thì chắc cũng có những éo le ngang trái thế nhỉ,,,1,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",4,3.48,Ecco,Hardcover,464,2024,2017,2025/05/16,2025/03/14,xuread2025,xuread2025 (#39),read,3.75. Có hai điều muốn làm khi đọc xong: đọc câu chuyện của nguyên mẫu và ăn gà tây bỏ lò,,,1,0
24848107,7 Năm Bóng Tối,You-Jeong Jeong,"Jeong, You-Jeong",Kim Ngân,"=""6045927141""","=""9786045927144""",0,3.71,Alphabooks & NXB Lao Động,Paperback,576,2015,2011,,2025/08/19,"to-read, xutoread2025","to-read (#89), xutoread2025 (#50)",to-read,,,,0,0
44243393,Vầng Trăng Máu: Cuộc Thảm Sát Người Osage và Sự Ra Đời của Tổ Chức FBI,David Grann,"Grann, David",Phạm Quốc Anh,"=""6046848512""","=""9786046848516""",0,4.14,NXB Văn Hóaa - Văn Nghệ/Saigon Books,Paperback,348,2018,2017,,2025/08/19,"to-read, xutoread2025","to-read (#88), xutoread2025 (#49)",to-read,,,,0,0
227729,"The Coffin Dancer (Lincoln Rhyme, #2)",Jeffery Deaver,"Deaver, Jeffery",,"=""""","=""""",0,4.16,Pocket Books,Paperback,532,1999,1998,,2025/08/11,"xutoread2025, currently-reading","xutoread2025 (#47), currently-reading (#13)",currently-reading,,,,1,0
133954,Washington Square,Henry James,"James, Henry",,"=""0451528719""","=""9780451528711""",0,3.70,Signet Classics,Mass Market Paperback,240,2004,1880,,2025/08/13,"currently-reading, xutoread2025","currently-reading (#12), xutoread2025 (#48)",currently-reading,,,,1,0
236786201,Thuyền,Nguyễn Đức Tùng,"Tùng, Nguyễn Đức",,"=""6044909506""","=""9786044909509""",3,3.36,NXB Phụ nữ,Paperback,372,2025,,2025/08/13,2025/08/04,xuread2025,xuread2025 (#38),read,không như kỳ vọng,,,1,0
34404263,Kẻ tầm xương (Lincoln Rhyme #1),Jeffery Deaver,"Deaver, Jeffery",,"=""""","=""""",5,4.20,"Bachvietbooks, NXB Văn học",Paperback,537,2015,1997,2025/08/13,2025/08/11,xuread2025,xuread2025 (#37),read,"Mãi từ tháng 5-2020 đọc Người biến mất tới giờ mới đọc #1 của series Lincoln Rhyme. Ngoài việc Sachs bắt nhịp nhanh quá, như thành con người khác sau những bỡ ngỡ ban đầu và việc bệnh đau khớp của cô không ai còn nhắc tới nữa thì quyển này quá hay, mọi thứ đảo lộn. sẽ đọc tiếp tập #2 rồi thôi, chứ mình thấy series nào cả chục tập thì mệt. ",,,1,0
63844226,Ngôi nhà kỳ quái,Uketsu,"Uketsu, Uketsu",Trần Phương Hằng,"=""604375648X""","=""9786043756487""",0,3.73,"NXB Phụ Nữ, ",Paperback,284,2022,2021,,2025/08/12,to-read,to-read (#87),to-read,,,,0,0
58600488,Con Gái Của Thời Gian,Josephine Tey,"Tey, Josephine",Lê Đình Chi,"=""6043331624""","=""9786043331622""",0,3.90,Tao Đàn,Hardcover,306,2021,1951,,2025/08/12,to-read,to-read (#86),to-read,,,,0,0
221978628,Sympathy Tower Tokyo,Rie Qudan,"Qudan, Rie",Jesse Kirkwood,"=""1405972068""","=""9781405972062""",0,3.26,Penguin,Paperback,144,2025,2024,,2025/08/12,to-read,to-read (#85),to-read,,,,0,0
